"ID","human","system","human2"
"RESPONSE_126",2,1.5284151526,2
"RESPONSE_127",4,4.1049395882,4
"RESPONSE_128",2,2.1079353835,2
"RESPONSE_129",5,3.9365299546,4
"RESPONSE_130",3,3.2147845361,3
"RESPONSE_131",4,3.0585671057,4
"RESPONSE_132",5,4.4432752866,5
"RESPONSE_133",4,5.0809285482,3
"RESPONSE_134",4,4.0088033808,4
"RESPONSE_135",3,3.924654756,4
"RESPONSE_136",4,4.5115994526,4
"RESPONSE_137",4,2.7557057763,4
"RESPONSE_138",3,3.6344901092,3
"RESPONSE_139",2,2.1464194899,3
"RESPONSE_140",4,4.4956863114,4
"RESPONSE_141",4,4.5378537071,3
"RESPONSE_142",5,4.6692845842,5
"RESPONSE_143",3,3.2458904987,3
"RESPONSE_144",3,3.1439545169,3
"RESPONSE_145",4,3.9112614566,4
"RESPONSE_146",4,4.3632893579,4
"RESPONSE_147",4,4.214760708,4
"RESPONSE_148",4,3.6547287718,4
"RESPONSE_149",3,3.4477461459,3
"RESPONSE_150",3,3.3896465509,3
"RESPONSE_151",3,3.4414887376,3
"RESPONSE_152",3,3.1768582858,3
"RESPONSE_153",1,1.2733962652,1
"RESPONSE_154",4,4.1455550239,4
"RESPONSE_155",4,3.485963991,3
"RESPONSE_156",3,2.6788123124,3
"RESPONSE_157",4,3.886947904,4
"RESPONSE_158",5,4.8704775786,5
"RESPONSE_159",2,1.1313163932,1
"RESPONSE_160",4,3.4542891153,3
"RESPONSE_161",4,4.342077882,4
"RESPONSE_162",4,4.5235966703,4
"RESPONSE_163",4,2.89227528,3
"RESPONSE_164",3,3.6494212612,4
"RESPONSE_165",2,3.365997487,3
"RESPONSE_166",2,1.4572133807,2
"RESPONSE_167",4,4.1859483606,4
"RESPONSE_168",2,2.1649662143,2
"RESPONSE_169",5,3.7616433321,4
"RESPONSE_170",3,3.080078659,3
"RESPONSE_171",4,3.1541802944,4
"RESPONSE_172",5,4.5028431138,5
"RESPONSE_173",4,5.1457338073,3
"RESPONSE_174",4,3.9946605696,4
"RESPONSE_175",3,3.9366811173,4
"RESPONSE_176",4,4.3430183182,4
"RESPONSE_177",4,2.7793742616,4
"RESPONSE_178",3,3.6275874261,3
"RESPONSE_179",2,2.2109049134,3
"RESPONSE_180",4,4.4913076966,4
"RESPONSE_181",4,4.5378889314,3
"RESPONSE_182",5,4.5349475951,5
"RESPONSE_183",3,3.3283251922,3
"RESPONSE_184",3,3.1364576743,3
"RESPONSE_185",4,3.9262787994,4
"RESPONSE_186",4,4.435323862,4
"RESPONSE_187",4,4.2051317934,4
"RESPONSE_188",4,3.6688930877,4
"RESPONSE_189",3,3.430793215,3
"RESPONSE_190",3,3.372397245,3
"RESPONSE_191",3,3.5390078683,3
"RESPONSE_192",3,3.0677403762,3
"RESPONSE_193",1,1.440533631,1
"RESPONSE_194",4,4.2634368642,4
"RESPONSE_195",4,3.4119458115,3
"RESPONSE_196",3,2.6336591258,3
"RESPONSE_197",4,3.973211472,4
"RESPONSE_198",5,5.1802219013,5
"RESPONSE_199",2,1.1103546574,1
"RESPONSE_200",4,3.5894350866,3
